product_id,カテゴリー名,サブカテゴリー名
"1662220656",スカート ,
"1662220656M020",スカート ,
"1662220656M030",スカート ,
"1662220656M040",スカート ,
"1662220656M052",スカート ,
"1662220656M061",スカート ,
"1662220656M080",スカート ,
"1662220656M090",スカート ,
"1662220656M122",スカート ,
"1212220008",スカート ,
"1212220008S020",スカート ,
"1212220008M020",スカート ,
"1212220008S110",スカート ,
"1212220008M110",スカート ,
"1252220033",スカート ,
"1252220033S010",スカート ,
"1252220033M010",スカート ,
"1252220033S030",スカート ,
"1252220033M030",スカート ,
"1252220033S040",スカート ,
"1252220033M040",スカート ,
"1312220031",バック スカート ,
"1312220031XS010",バック スカート ,
"1312220031S010",バック スカート ,
"1312220031S050",バック スカート ,
"1312220031M050",バック スカート ,
"1312220031XS110",バック スカート ,
"1312220031S110",バック スカート ,
"1312220031M110",バック スカート ,
"0172293003",,
"0172293003FR032",,
"0172293003FR052",,
"1312220016",スカート ,
"1312220016M010",スカート ,
"1312220016S040",スカート ,
"1312220016M040",スカート ,
"1312220016S130",スカート ,
"1312220016M130",スカート ,
"1212210007",ブラウス ,
"1212210007S030",ブラウス ,
"1212210007M030",ブラウス ,
"1212210007S091",ブラウス ,
"1212210007M091",ブラウス ,
"1212210007S110",ブラウス ,
"1212210007M110",ブラウス ,
"0172270049",ニット ,
"0172270049M021",ニット ,
"0172270049M031",ニット ,
"0172270049M080",ニット ,
"0172270100",ニット ,
"0172270100M010",ニット ,
"0172270100M031",ニット ,
"0172270100M090",ニット ,
"0172270100M110",ニット ,
"0172282006",バッグ ,
"0172282006-010",バッグ ,
"0172282006-031",バッグ ,
"0172282006-130",バッグ ,
"0172293002",,
"0172293002FR031",,
"0172293002FR050",,
"1212240511",ニット ワンピース ,
"1212240511S010",ニット ワンピース ,
"1212240511M010",ニット ワンピース ,
"1212240511PS010",ニット ワンピース ,
"1212240511S020",ニット ワンピース ,
"1212240511M020",ニット ワンピース ,
"1212240511PS020",ニット ワンピース ,
"1212240511S051",ニット ワンピース ,
"1212240511M051",ニット ワンピース ,
"1212240511PS051",ニット ワンピース ,
"1662240954",,
"1662240954M121",,
"1662240954M141",,
"1662251052",コート ,
"1662251052S010",コート ,
"1662251052M010",コート ,
"1662251052S040",コート ,
"1662251052M040",コート ,
"1662251052S150",コート ,
"1662251052M150",コート ,
"1212282804",,
"121228280423.0010",,
"121228280424.0010",,
"121228280423.0040",,
"121228280423.5040",,
"121228280424.0040",,
"121228280423.0070",,
"121228280423.5070",,
"121228280424.0070",,
"0172270109",ニット ,
"0172270109M010",ニット ,
"0172270109M031",ニット ,
"0172270109M110",ニット ,
"0172270109M140",ニット ,
"0172281905",,
"0172281905-032",,
"0172281905-052",,
"0172230903",パンツ ,
"0172230903M010",パンツ ,
